Index,Time,(Imu_info).Gyro[0],(Imu_info).Gyro[1],(Imu_info).Gyro[2],(Imu_info).Accel[0],(Imu_info).Accel[1],(Imu_info).Accel[2]
6347,63.480040,0.0104461238,-0.00513470406,-0.00892585143,-1.9426111,0.161425665,9.87081146
6348,63.489972,-0.00766337197,-0.00726523297,0.029423669,-1.98480177,0.133909926,9.85980606
6349,63.500196,0.0189682394,0.00125688268,0.00385732227,-1.94994855,0.161425665,9.83412457
6350,63.509884,0.00618506595,-0.00939576235,-0.0131869093,-2.05267382,0.0495283268,9.78459549
6351,63.520292,0.00618506595,-0.0136568202,-0.0121216448,-1.95912051,0.0752096847,9.85246754
6352,63.530063,0.00405453704,0.0108442623,-0.0110563803,-2.01048326,0.135744303,9.83779335
6353,63.540088,0.00618506595,-0.0040694396,-0.0121216448,-1.99580812,0.157756895,9.85980606
6354,63.550001,-0.0129896943,0.0087137334,-0.0131869093,-1.98847067,0.159591287,9.8854866
6355,63.559911,0.0147071807,-0.0040694396,0.00279205781,-1.93527353,0.139413059,9.80293941
6356,63.570092,0.00725033041,0.000191618165,0.0123794377,-2.00864887,0.130241156,9.8744812
6357,63.580035,0.00618506595,-0.00513470406,0.0134447021,-1.9811331,0.121069245,9.88915539
6358,63.589983,-0.00233704969,-0.0136568202,-0.00573005807,-1.95728612,0.135744303,9.81761551
6359,63.599910,-0.00766337197,0.0140400557,0.00385732227,-2.0013113,0.122903623,9.82311821
6360,63.609922,-0.00553284306,-0.0168526117,-0.0142521737,-2.00681448,0.148584977,9.79743671
6361,63.619855,0.00618506595,-0.0221789349,-0.00999111589,-1.97562993,0.141247451,9.86347485
6362,63.630036,-0.00766337197,-0.0104610268,-0.00999111589,-1.99764252,0.102725424,9.82311821
6363,63.639948,0.0168377124,-0.0296357851,-0.00253426447,-1.96645796,0.121069245,9.87814999
6364,63.649915,-0.0225770734,0.0108442623,0.0209015533,-1.95912051,0.0990566537,9.76074886
6365,63.659849,0.0125766527,-0.00939576235,0.0145099666,-1.95728612,0.108228564,9.85980606
6366,63.670208,0.00725033041,-0.00193891069,-0.00146900013,-1.93527353,0.172431946,9.90199661
6367,63.680114,-0.00127178524,-0.00619996851,-0.00786058698,-2.03799891,0.113731712,9.82862186
6368,63.689991,0.0147071807,-0.00300417515,0.0230320822,-1.97196126,0.212788373,9.95152473
6369,63.699944,0.0051198015,-0.0125915557,0.00705311541,-1.99764252,0.154088125,9.88915539
